,pmd:TSO,pmd:cgmesProfile,pmd:content-reference,pmd:contentType,pmd:conversationId,pmd:creationDate,pmd:description,pmd:fileName,pmd:fullModel_ID,pmd:isFullModel,pmd:modelPartReference,pmd:modelProfile,pmd:modelid,pmd:modelingAuthoritySet,pmd:scenarioDate,pmd:timeHorizon,pmd:validFrom,pmd:version,pmd:versionNumber
1,LITGRID,SV,CGMES/1D/LITGRID/20181122/73000/SV/20181122T0730Z_1D_LITGRID_SV_001.xml,CGMES,1073987180,2018-11-21T14:53:29.4972164Z,,20181122T0730Z_1D_LITGRID_SV_001.xml,228ad26e-ed9d-11e8-811c-00505691de36,true,LITGRID,http://entsoe.eu/CIM/StateVariables/4/1,228ad26e-ed9d-11e8-811c-00505691de36,http://www.litgrid.eu/OperationalPlanning,2018-11-22T07:30:00.0000000Z,1D,20181122T0730Z,1,001
2,AST,SV,CGMES/1D/AST/20181122/73000/SV/20181122T0730Z_1D_AST_SV_001.xml,CGMES,-1252112623,2018-11-21T14:31:59Z,Mustang case: buses - 272 branches - 356,20181122T0730Z_1D_AST_SV_001.xml,8fefec03-bdf9-46dd-9e2c-6047b71cdc5f,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,8fefec03-bdf9-46dd-9e2c-6047b71cdc5f,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T07:30:00Z,1D,20181122T0730Z,001,001
0,AST,SV,CGMES/1D/AST/20181122/83000/SV/20181122T0830Z_1D_AST_SV_001.xml,CGMES,412050830,2018-11-21T14:32:00Z,Mustang case: buses - 272 branches - 356,20181122T0830Z_1D_AST_SV_001.xml,f76d3688-2f77-4867-ae27-ab2b777d47c8,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,f76d3688-2f77-4867-ae27-ab2b777d47c8,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T08:30:00Z,1D,20181122T0830Z,001,001
1,ELERING,SV,CGMES/1D/ELERING/20181122/83000/SV/20181122T0830Z_1D_ELERING_SV_001.xml,CGMES,-1160097694,2018-11-21T18:20:36Z,ELERING AP--Base-Network,20181122T0830Z_1D_ELERING_SV_001.xml,e2311bf9-ecbc-4b1a-aac5-252a2981f171,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,e2311bf9-ecbc-4b1a-aac5-252a2981f171,http://www.elering.ee/OperationalPlanning,2018-11-22T08:30:00Z,1D,20181122T0830Z,001,001
0,ELERING,SV,CGMES/1D/ELERING/20181122/93000/SV/20181122T0930Z_1D_ELERING_SV_001.xml,CGMES,820473671,2018-11-21T18:21:25Z,ELERING AP--Base-Network,20181122T0930Z_1D_ELERING_SV_001.xml,f65a8607-6bc1-469d-81bf-8904eed4dd5e,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,f65a8607-6bc1-469d-81bf-8904eed4dd5e,http://www.elering.ee/OperationalPlanning,2018-11-22T09:30:00Z,1D,20181122T0930Z,001,001
1,AST,SV,CGMES/1D/AST/20181122/93000/SV/20181122T0930Z_1D_AST_SV_001.xml,CGMES,-2049329576,2018-11-21T14:31:59Z,Mustang case: buses - 272 branches - 356,20181122T0930Z_1D_AST_SV_001.xml,079b9b85-901d-426e-8101-36ee7164caea,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,079b9b85-901d-426e-8101-36ee7164caea,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T09:30:00Z,1D,20181122T0930Z,001,001
0,AST,SV,CGMES/1D/AST/20181122/103000/SV/20181122T1030Z_1D_AST_SV_001.xml,CGMES,-325444242,2018-11-21T14:31:58Z,Mustang case: buses - 272 branches - 356,20181122T1030Z_1D_AST_SV_001.xml,52d8b370-88e9-4b48-ad51-7eae267210b2,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,52d8b370-88e9-4b48-ad51-7eae267210b2,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T10:30:00Z,1D,20181122T1030Z,001,001
1,ELERING,SV,CGMES/1D/ELERING/20181122/103000/SV/20181122T1030Z_1D_ELERING_SV_001.xml,CGMES,-2110253719,2018-11-21T18:22:17Z,ELERING AP--Base-Network,20181122T1030Z_1D_ELERING_SV_001.xml,8b635f31-16d7-4488-845d-83bb4914acb4,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,8b635f31-16d7-4488-845d-83bb4914acb4,http://www.elering.ee/OperationalPlanning,2018-11-22T10:30:00Z,1D,20181122T1030Z,001,001
0,ELERING,SV,CGMES/1D/ELERING/20181122/113000/SV/20181122T1130Z_1D_ELERING_SV_001.xml,CGMES,-460002138,2018-11-21T18:23:07Z,ELERING AP--Base-Network,20181122T1130Z_1D_ELERING_SV_001.xml,f5eedc85-0d6c-48d4-8cf2-4cf25e6f9ac3,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,f5eedc85-0d6c-48d4-8cf2-4cf25e6f9ac3,http://www.elering.ee/OperationalPlanning,2018-11-22T11:30:00Z,1D,20181122T1130Z,001,001
1,AST,SV,CGMES/1D/AST/20181122/113000/SV/20181122T1130Z_1D_AST_SV_001.xml,CGMES,1611838522,2018-11-21T14:32:02Z,Mustang case: buses - 272 branches - 356,20181122T1130Z_1D_AST_SV_001.xml,8fcabf38-7dc4-484e-8b27-9a874f532837,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,8fcabf38-7dc4-484e-8b27-9a874f532837,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T11:30:00Z,1D,20181122T1130Z,001,001
