query_id;time_horizon;sceanrio_time;profile;query_duration;query_start;query_end;query_status
nan;2D;2018-11-20 03:30:00+01:00;SV;2,0;2018-12-07 15:40:37.019703;2018-12-07 15:40:39.144748;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 39cb2113-2a02-4966-8876-5f4994022450
nan;2D;2018-11-20 04:30:00+01:00;SV;3,0;2018-12-07 15:40:39.160385;2018-12-07 15:40:42.222936;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 90738cbb-3a47-4825-b82f-df34ef3d31f5
nan;2D;2018-11-20 05:30:00+01:00;SV;3,0;2018-12-07 15:40:42.238557;2018-12-07 15:40:45.301125;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: c29a7f74-1b13-42bf-b16d-9850f6456e5f
nan;2D;2018-11-20 06:30:00+01:00;SV;3,0;2018-12-07 15:40:45.301125;2018-12-07 15:40:48.379328;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 05f73753-486a-411a-8499-8e4707e83020
nan;2D;2018-11-20 07:30:00+01:00;SV;3,0;2018-12-07 15:40:48.379328;2018-12-07 15:40:51.504391;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 980df751-3848-473f-93dd-efd35431ab3b
nan;2D;2018-11-20 08:30:00+01:00;SV;3,0;2018-12-07 15:40:51.520005;2018-12-07 15:40:54.582584;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 00cf9476-992f-4ffa-836b-9c2aa8763756
nan;2D;2018-11-20 09:30:00+01:00;SV;4,0;2018-12-07 15:40:54.598195;2018-12-07 15:40:58.754533;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 3ca15f63-196f-424a-8538-3cbb4b612e45
nan;2D;2018-11-20 10:30:00+01:00;SV;3,0;2018-12-07 15:40:58.754533;2018-12-07 15:41:01.863993;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: ca98cc70-0f47-4898-bfb4-f847d4b00275
nan;2D;2018-11-20 11:30:00+01:00;SV;2,0;2018-12-07 15:41:01.863993;2018-12-07 15:41:03.973412;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: bb305eff-fa12-4411-af64-850e22ed8baa
nan;2D;2018-11-20 12:30:00+01:00;SV;3,0;2018-12-07 15:41:03.989011;2018-12-07 15:41:06.067211;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 4504faf5-5e26-4a87-a90f-0018643c7687
